	Vector time	gfs.168.110.total_high_cloud.comb
141	22.08.2022 04:00:00	5,014706
142	22.08.2022 05:00:00	6,334499
143	22.08.2022 06:00:00	28,585476
144	22.08.2022 07:00:00	28,904
145	22.08.2022 08:00:00	7,776561
146	22.08.2022 09:00:00	3,2357
147	22.08.2022 10:00:00	-0,380279
148	22.08.2022 11:00:00	0,000275
149	22.08.2022 12:00:00	0
150	22.08.2022 15:00:00	2,376985
151	22.08.2022 16:00:00	5,044972
152	22.08.2022 17:00:00	2,446759
153	22.08.2022 18:00:00	-0,317322
154	22.08.2022 19:00:00	0,125404
155	22.08.2022 20:00:00	10,474062
156	22.08.2022 21:00:00	83,112091
157	22.08.2022 22:00:00	90,153672
158	22.08.2022 23:00:00	77,794824
159	23.08.2022 00:00:00	71,16152
160	23.08.2022 01:00:00	70,204923
161	23.08.2022 02:00:00	58,008324
162	23.08.2022 03:00:00	97,771182
163	23.08.2022 04:00:00	99,936713
164	23.08.2022 05:00:00	100,009092
165	23.08.2022 06:00:00	100
166	23.08.2022 07:00:00	97,405766
167	23.08.2022 08:00:00	63,721815
168	23.08.2022 09:00:00	34,293913
169	23.08.2022 10:00:00	27,485283
170	23.08.2022 11:00:00	20,666336
171	23.08.2022 12:00:00	103,643716
172	23.08.2022 13:00:00	100,564607
173	23.08.2022 14:00:00	95,143454
174	23.08.2022 15:00:00	80,985214
175	23.08.2022 16:00:00	40,592499
176	23.08.2022 17:00:00	64,458368
177	23.08.2022 18:00:00	79,486629
178	23.08.2022 19:00:00	37,950108
179	23.08.2022 20:00:00	35,611841
180	23.08.2022 21:00:00	89,864389
181	23.08.2022 22:00:00	35,986915
182	23.08.2022 23:00:00	60,834591
183	24.08.2022 00:00:00	14,887177
184	24.08.2022 01:00:00	4,956891
185	24.08.2022 02:00:00	0,820779
186	24.08.2022 03:00:00	26,331426
187	24.08.2022 04:00:00	7,350447
188	24.08.2022 05:00:00	6,423046
189	24.08.2022 06:00:00	30,253915
190	24.08.2022 07:00:00	35,134872
191	24.08.2022 08:00:00	43,918198
192	24.08.2022 09:00:00	52,983597
193	24.08.2022 10:00:00	47,353065
194	24.08.2022 11:00:00	37,842714
195	24.08.2022 12:00:00	41,04018
196	24.08.2022 13:00:00	61,605226
197	24.08.2022 14:00:00	105,187421
198	24.08.2022 15:00:00	105,227786
199	24.08.2022 16:00:00	106,099886
200	24.08.2022 17:00:00	99,043465
201	24.08.2022 18:00:00	50,642688
202	24.08.2022 19:00:00	25,752164
203	24.08.2022 20:00:00	2,339196
204	24.08.2022 21:00:00	1,207717
205	24.08.2022 22:00:00	0,43061
206	24.08.2022 23:00:00	-0,272887
207	25.08.2022 00:00:00	2,658689
208	25.08.2022 01:00:00	4,438606
209	25.08.2022 02:00:00	15,06745
210	25.08.2022 03:00:00	0,002475
211	25.08.2022 04:00:00	0
212	25.08.2022 05:00:00	-0,005576
213	25.08.2022 06:00:00	1,199402
214	25.08.2022 07:00:00	0,392342
215	25.08.2022 08:00:00	-0,019113
216	25.08.2022 09:00:00	0
217	25.08.2022 11:00:00	-0,005729
218	25.08.2022 12:00:00	-0,003207
219	25.08.2022 15:00:00	-0,069605
220	25.08.2022 16:00:00	-0,358453
221	25.08.2022 17:00:00	2,159284
222	25.08.2022 18:00:00	0,071741
223	25.08.2022 19:00:00	2,217078
224	25.08.2022 20:00:00	-1,219232
225	25.08.2022 21:00:00	26,752136
226	25.08.2022 22:00:00	67,42467
227	25.08.2022 23:00:00	101,836182
228	26.08.2022 00:00:00	94,122999
229	26.08.2022 01:00:00	82,324552
230	26.08.2022 02:00:00	71,973235
231	26.08.2022 03:00:00	92,864433
232	26.08.2022 04:00:00	74,675517
233	26.08.2022 05:00:00	67,956259
234	26.08.2022 06:00:00	29,286162
235	26.08.2022 07:00:00	6,267892
236	26.08.2022 08:00:00	5,000991
237	26.08.2022 09:00:00	3,109866
238	26.08.2022 10:00:00	4,962775
239	26.08.2022 11:00:00	5,78162
240	26.08.2022 12:00:00	4,334561
241	26.08.2022 13:00:00	3,361977
242	26.08.2022 14:00:00	0,959341
243	26.08.2022 15:00:00	0,015995
244	26.08.2022 16:00:00	-0,033799
245	26.08.2022 17:00:00	-0,031548
246	26.08.2022 18:00:00	-0,057859
247	26.08.2022 19:00:00	-0,025006
248	26.08.2022 20:00:00	0,052824
249	26.08.2022 21:00:00	-0,247595
250	26.08.2022 22:00:00	-0,143601
251	26.08.2022 23:00:00	0,014819
252	27.08.2022 00:00:00	0,530655
253	27.08.2022 01:00:00	0,989201
254	27.08.2022 02:00:00	3,415501
255	27.08.2022 03:00:00	10,452055
256	27.08.2022 04:00:00	3,952068
257	27.08.2022 05:00:00	3,603011
258	27.08.2022 06:00:00	1,637927
259	27.08.2022 07:00:00	2,969988
260	27.08.2022 08:00:00	2,002112
261	27.08.2022 09:00:00	1,83067
262	27.08.2022 10:00:00	5,092775
263	27.08.2022 11:00:00	5,203035
264	27.08.2022 12:00:00	34,879001
265	27.08.2022 13:00:00	32,601465
266	27.08.2022 14:00:00	40,650925
267	27.08.2022 15:00:00	20,385431
268	27.08.2022 16:00:00	56,958266
269	27.08.2022 17:00:00	64,988447
270	27.08.2022 18:00:00	51,670038
271	27.08.2022 19:00:00	16,959448
272	27.08.2022 20:00:00	-2,853102
273	27.08.2022 21:00:00	6,367121
274	27.08.2022 22:00:00	4,442798
275	27.08.2022 23:00:00	0,003707
276	28.08.2022 00:00:00	-0,747855
277	28.08.2022 01:00:00	5,831565
278	28.08.2022 02:00:00	36,075249
279	28.08.2022 03:00:00	88,986607
280	28.08.2022 04:00:00	1,03493
281	28.08.2022 05:00:00	0
282	28.08.2022 06:00:00	-0,044463
283	28.08.2022 07:00:00	3,171404
284	28.08.2022 08:00:00	5,469651
285	28.08.2022 09:00:00	4,133427
286	28.08.2022 10:00:00	2,903347
287	28.08.2022 11:00:00	0,996805
288	28.08.2022 12:00:00	-0,034765
289	28.08.2022 13:00:00	-0,01413
290	28.08.2022 14:00:00	-0,059817
291	28.08.2022 15:00:00	-0,009639
292	28.08.2022 16:00:00	2,151367
293	28.08.2022 17:00:00	60,064527
294	28.08.2022 18:00:00	75,883121
295	28.08.2022 19:00:00	104,842285
296	28.08.2022 20:00:00	72,23146
297	28.08.2022 21:00:00	10,499857
298	28.08.2022 22:00:00	4,223802
299	28.08.2022 23:00:00	3,12972
300	29.08.2022 00:00:00	4,589671
301	29.08.2022 01:00:00	4,066646
302	29.08.2022 02:00:00	9,813409
303	29.08.2022 03:00:00	4,712532
304	29.08.2022 04:00:00	4,226875
305	29.08.2022 05:00:00	3,535931
306	29.08.2022 06:00:00	5,015953
307	29.08.2022 07:00:00	5,174986
308	29.08.2022 08:00:00	8,392275
309	29.08.2022 09:00:00	4,963189
310	29.08.2022 10:00:00	12,877164
311	29.08.2022 11:00:00	67,136906
312	29.08.2022 12:00:00	47,480991
313	29.08.2022 13:00:00	76,411875
314	29.08.2022 14:00:00	32,354896
315	29.08.2022 15:00:00	80,259138
316	29.08.2022 16:00:00	99,49005
317	29.08.2022 17:00:00	99,959145
318	29.08.2022 18:00:00	87,806994
319	29.08.2022 19:00:00	97,17527
320	29.08.2022 20:00:00	72,66714
321	29.08.2022 21:00:00	83,395829
322	29.08.2022 22:00:00	75,992052
323	29.08.2022 23:00:00	95,02154
324	30.08.2022 00:00:00	98,754706
325	30.08.2022 01:00:00	23,750085
326	30.08.2022 02:00:00	9,822425
327	30.08.2022 03:00:00	19,004534
328	30.08.2022 04:00:00	33,851987
329	30.08.2022 05:00:00	19,75955
330	30.08.2022 06:00:00	11,402252
331	30.08.2022 07:00:00	27,406911
332	30.08.2022 08:00:00	73,787609
333	30.08.2022 09:00:00	100,016988
334	30.08.2022 10:00:00	99,999364
335	30.08.2022 11:00:00	84,473195
336	30.08.2022 12:00:00	100
337	30.08.2022 13:00:00	99,66296
338	30.08.2022 14:00:00	78,669184
339	30.08.2022 15:00:00	60,881159
340	30.08.2022 16:00:00	65,975412
341	30.08.2022 17:00:00	99,902218
342	30.08.2022 18:00:00	101,31993
343	30.08.2022 19:00:00	75,593789
344	30.08.2022 20:00:00	5,436289
345	30.08.2022 21:00:00	6,369309
346	30.08.2022 22:00:00	8,059479
347	30.08.2022 23:00:00	3,376589
348	31.08.2022 00:00:00	3,221107
349	31.08.2022 01:00:00	4,443754
350	31.08.2022 02:00:00	3,323545
351	31.08.2022 03:00:00	-0,340265
352	31.08.2022 04:00:00	0,505772
353	31.08.2022 05:00:00	-0,232073
354	31.08.2022 06:00:00	2,965477
355	31.08.2022 07:00:00	3,522282
356	31.08.2022 08:00:00	4,778875
357	31.08.2022 09:00:00	4,527626
358	31.08.2022 10:00:00	19,209783
359	31.08.2022 11:00:00	39,33441
360	31.08.2022 12:00:00	-1,290546
361	31.08.2022 13:00:00	9,315923
362	31.08.2022 14:00:00	15,776441
363	31.08.2022 15:00:00	3,380888
364	31.08.2022 16:00:00	7,557291
365	31.08.2022 17:00:00	6,636256
366	31.08.2022 18:00:00	5,020571
367	31.08.2022 19:00:00	4,845865
368	31.08.2022 20:00:00	78,08721
369	31.08.2022 21:00:00	82,562109
370	31.08.2022 22:00:00	84,316054
371	31.08.2022 23:00:00	98,46529
372	01.09.2022 00:00:00	100
373	01.09.2022 01:00:00	90,95958
374	01.09.2022 02:00:00	99,688121
375	01.09.2022 03:00:00	100
376	01.09.2022 07:00:00	100,487844
377	01.09.2022 08:00:00	83,684595
378	01.09.2022 09:00:00	19,297212
379	01.09.2022 10:00:00	27,5184
380	01.09.2022 11:00:00	100,250702
381	01.09.2022 12:00:00	100
382	01.09.2022 14:00:00	100,383999
383	01.09.2022 15:00:00	100,003394
384	01.09.2022 16:00:00	100,210007
385	01.09.2022 17:00:00	102,939463
386	01.09.2022 18:00:00	86,741543
387	01.09.2022 19:00:00	52,219805
388	01.09.2022 20:00:00	43,017617
389	01.09.2022 21:00:00	24,269028
390	01.09.2022 22:00:00	29,80935
391	01.09.2022 23:00:00	26,598587
392	02.09.2022 00:00:00	60,764534
393	02.09.2022 01:00:00	91,446757
394	02.09.2022 02:00:00	53,975926
395	02.09.2022 03:00:00	100,004073
396	02.09.2022 04:00:00	100
397	02.09.2022 06:00:00	99,7979
398	02.09.2022 07:00:00	100
399	02.09.2022 23:00:00	99,252097
400	03.09.2022 00:00:00	3,886078
401	03.09.2022 01:00:00	7,090922
402	03.09.2022 02:00:00	100,553948
403	03.09.2022 03:00:00	99,218156
404	03.09.2022 04:00:00	100,00396
405	03.09.2022 05:00:00	99,97292
406	03.09.2022 06:00:00	93,874738
407	03.09.2022 07:00:00	51,025091
408	03.09.2022 08:00:00	77,730319
409	03.09.2022 09:00:00	19,545885
410	03.09.2022 10:00:00	3,168525
411	03.09.2022 11:00:00	0
412	03.09.2022 15:00:00	0,456728
413	03.09.2022 16:00:00	0
414	03.09.2022 19:00:00	0,002627
415	03.09.2022 20:00:00	-0,003693
416	03.09.2022 21:00:00	-0,002037
417	03.09.2022 22:00:00	-0,019898
418	03.09.2022 23:00:00	1,166344
419	04.09.2022 00:00:00	5,279952
420	04.09.2022 01:00:00	2,833715
421	04.09.2022 02:00:00	-0,043364
422	04.09.2022 03:00:00	0,603835
423	04.09.2022 04:00:00	-0,008808
424	04.09.2022 05:00:00	0,863158
425	04.09.2022 06:00:00	4,977301
426	04.09.2022 07:00:00	5,001142
427	04.09.2022 08:00:00	4,779907
