	Vector time	sun.ele.GFS_168
131	16.08.2022 08:30:00	30,8059422
132	16.08.2022 08:45:00	33,1669196
133	16.08.2022 09:00:00	35,4832638
134	16.08.2022 09:15:00	37,7446938
135	16.08.2022 09:30:00	39,9396869
136	16.08.2022 09:45:00	42,055299
137	16.08.2022 10:00:00	44,0770003
138	16.08.2022 10:15:00	45,9885532
139	16.08.2022 10:30:00	47,7719719
140	16.08.2022 10:45:00	49,4076176
141	16.08.2022 11:00:00	50,8744967
142	16.08.2022 11:15:00	52,1508295
143	16.08.2022 11:30:00	53,2149428
144	16.08.2022 11:45:00	54,0464879
145	16.08.2022 12:00:00	54,627904
146	16.08.2022 12:15:00	54,9459419
147	16.08.2022 12:30:00	54,9929799
148	16.08.2022 12:45:00	54,7678462
149	16.08.2022 13:00:00	54,2759491
150	16.08.2022 13:15:00	53,5286808
151	16.08.2022 13:30:00	52,5422446
152	16.08.2022 13:45:00	51,3361703
153	16.08.2022 14:00:00	49,9318036
154	16.08.2022 14:15:00	48,3509889
155	16.08.2022 14:30:00	46,6150588
156	16.08.2022 14:45:00	44,7441567
157	16.08.2022 15:00:00	42,7568514
158	16.08.2022 15:15:00	40,6699792
159	16.08.2022 15:30:00	38,4986427
160	16.08.2022 15:45:00	36,2563103
161	16.08.2022 16:00:00	33,9549684
162	16.08.2022 16:15:00	31,6052987
163	16.08.2022 16:30:00	29,2168584
164	16.08.2022 16:45:00	26,7982541
165	16.08.2022 17:00:00	24,3573025
166	16.08.2022 17:15:00	21,9011759
167	16.08.2022 17:30:00	19,4365321
168	16.08.2022 17:45:00	16,9696304
169	16.08.2022 18:00:00	14,5064347
170	16.08.2022 18:15:00	12,052705
171	16.08.2022 18:30:00	9,6140803
172	16.08.2022 18:45:00	7,1961525
173	16.08.2022 19:00:00	4,8045341
174	16.08.2022 19:15:00	2,4449196
175	16.08.2022 19:30:00	0,1231417
176	16.08.2022 19:45:00	-2,1547778
177	16.08.2022 20:00:00	-4,3825831
178	16.08.2022 20:15:00	-6,5537451
179	16.08.2022 20:30:00	-8,6614298
180	16.08.2022 20:45:00	-10,6984763
181	16.08.2022 21:00:00	-12,6573852
182	16.08.2022 21:15:00	-14,5303228
183	16.08.2022 21:30:00	-16,3091414
184	16.08.2022 21:45:00	-17,9854213
185	16.08.2022 22:00:00	-19,5505372
186	16.08.2022 22:15:00	-20,9957522
187	16.08.2022 22:30:00	-22,3123409
188	16.08.2022 22:45:00	-23,4917426
189	16.08.2022 23:00:00	-24,5257421
190	16.08.2022 23:15:00	-25,4066721
191	16.08.2022 23:30:00	-26,1276299
192	16.08.2022 23:45:00	-26,6826954
193	17.08.2022 00:00:00	-27,0671354
194	17.08.2022 00:15:00	-27,2775794
195	17.08.2022 00:30:00	-27,312152
196	17.08.2022 00:45:00	-27,1705482
197	17.08.2022 01:00:00	-26,8540464
198	17.08.2022 01:15:00	-26,3654563
199	17.08.2022 01:30:00	-25,709008
200	17.08.2022 01:45:00	-24,8901911
201	17.08.2022 02:00:00	-23,9155598
202	17.08.2022 02:15:00	-22,792518
203	17.08.2022 02:30:00	-21,5291014
204	17.08.2022 02:45:00	-20,1337675
205	17.08.2022 03:00:00	-18,6152062
206	17.08.2022 03:15:00	-16,9821755
207	17.08.2022 03:30:00	-15,2433665
208	17.08.2022 03:45:00	-13,4072985
209	17.08.2022 04:00:00	-11,4822424
210	17.08.2022 04:15:00	-9,4761697
211	17.08.2022 04:30:00	-7,3967242
212	17.08.2022 04:45:00	-5,2512124
213	17.08.2022 05:00:00	-3,0466092
214	17.08.2022 05:15:00	-0,7895768
215	17.08.2022 05:30:00	1,5135074
216	17.08.2022 05:45:00	3,8565137
217	17.08.2022 06:00:00	6,2335172
218	17.08.2022 06:15:00	8,6387487
219	17.08.2022 06:30:00	11,0665402
220	17.08.2022 06:45:00	13,5112653
221	17.08.2022 07:00:00	15,9672733
222	17.08.2022 07:15:00	18,4288179
223	17.08.2022 07:30:00	20,8899768
224	17.08.2022 07:45:00	23,3445641
225	17.08.2022 08:00:00	25,7860308
226	17.08.2022 08:15:00	28,2073545
227	17.08.2022 08:30:00	30,6009149
228	17.08.2022 08:45:00	32,9583548
229	17.08.2022 09:00:00	35,2704264
230	17.08.2022 09:15:00	37,5268247
231	17.08.2022 09:30:00	39,716012
232	17.08.2022 09:45:00	41,8250434
233	17.08.2022 10:00:00	43,8394101
234	17.08.2022 10:15:00	45,7429259
235	17.08.2022 10:30:00	47,5176975
236	17.08.2022 10:45:00	49,144231
237	17.08.2022 11:00:00	50,601738
238	17.08.2022 11:15:00	51,8687085
239	17.08.2022 11:30:00	52,9237976
240	17.08.2022 11:45:00	53,7470242
241	17.08.2022 12:00:00	54,3211998
242	17.08.2022 12:15:00	54,6334069
243	17.08.2022 12:30:00	54,6762665
244	17.08.2022 12:45:00	54,4487241
245	17.08.2022 13:00:00	53,9561644
246	17.08.2022 13:15:00	53,2098274
247	17.08.2022 13:30:00	52,2256678
248	17.08.2022 13:45:00	51,022914
249	17.08.2022 14:00:00	49,6225995
250	17.08.2022 14:15:00	48,0462763
251	17.08.2022 14:30:00	46,3150248
252	17.08.2022 14:45:00	44,4487844
253	17.08.2022 15:00:00	42,4659673
254	17.08.2022 15:15:00	40,383296
255	17.08.2022 15:30:00	38,215795
256	17.08.2022 15:45:00	35,9768826
257	17.08.2022 16:00:00	33,6785166
258	17.08.2022 16:15:00	31,3313653
259	17.08.2022 16:30:00	28,9449838
260	17.08.2022 16:45:00	26,5279842
261	17.08.2022 17:00:00	24,0881934
262	17.08.2022 17:15:00	21,632797
263	17.08.2022 17:30:00	19,1684682
264	17.08.2022 17:45:00	16,7014824
265	17.08.2022 18:00:00	14,2378203
266	17.08.2022 18:15:00	11,783259
267	17.08.2022 18:30:00	9,3434547
268	17.08.2022 18:45:00	6,9240171
269	17.08.2022 19:00:00	4,5305771
270	17.08.2022 19:15:00	2,1688486
271	17.08.2022 19:30:00	-0,1553148
272	17.08.2022 19:45:00	-2,4358683
273	17.08.2022 20:00:00	-4,6665303
274	17.08.2022 20:15:00	-6,8407427
275	17.08.2022 20:30:00	-8,9516384
276	17.08.2022 20:45:00	-10,9920181
277	17.08.2022 21:00:00	-12,9543391
278	17.08.2022 21:15:00	-14,8307179
279	17.08.2022 21:30:00	-16,6129503
280	17.08.2022 21:45:00	-18,2925536
281	17.08.2022 22:00:00	-19,8608328
282	17.08.2022 22:15:00	-21,3089755
283	17.08.2022 22:30:00	-22,6281764
284	17.08.2022 22:45:00	-23,8097927
285	17.08.2022 23:00:00	-24,8455271
286	17.08.2022 23:15:00	-25,7276342
287	17.08.2022 23:30:00	-26,449141
288	17.08.2022 23:45:00	-27,0040685
289	18.08.2022 00:00:00	-27,3876405
290	18.08.2022 00:15:00	-27,5964624
291	18.08.2022 00:30:00	-27,6286556
292	18.08.2022 00:45:00	-27,4839342
