	Vector time	gfs.168.107.total_cloud.comb
161	22.08.2022 02:00:00	96,361781
162	22.08.2022 03:00:00	104,081148
163	22.08.2022 04:00:00	107,278674
164	22.08.2022 05:00:00	101,110953
165	22.08.2022 06:00:00	93,424265
166	22.08.2022 07:00:00	93,014758
167	22.08.2022 08:00:00	90,705782
168	22.08.2022 09:00:00	92,912105
169	22.08.2022 10:00:00	92,537918
170	22.08.2022 11:00:00	78,609363
171	22.08.2022 12:00:00	33,099167
172	22.08.2022 13:00:00	13,232272
173	22.08.2022 14:00:00	78,438234
174	22.08.2022 15:00:00	101,088399
175	22.08.2022 16:00:00	97,754468
176	22.08.2022 17:00:00	97,858721
177	22.08.2022 18:00:00	91,794357
178	22.08.2022 19:00:00	37,0445
179	22.08.2022 20:00:00	39,372214
180	22.08.2022 21:00:00	90,961715
181	22.08.2022 22:00:00	93,879269
182	22.08.2022 23:00:00	78,607845
183	23.08.2022 00:00:00	85,443091
184	23.08.2022 01:00:00	100,010328
185	23.08.2022 02:00:00	101,64089
186	23.08.2022 03:00:00	98,950549
187	23.08.2022 04:00:00	99,92478
188	23.08.2022 05:00:00	100,009092
189	23.08.2022 06:00:00	100
190	23.08.2022 07:00:00	97,371399
191	23.08.2022 08:00:00	78,618559
192	23.08.2022 09:00:00	40,184592
193	23.08.2022 10:00:00	27,58635
194	23.08.2022 11:00:00	20,665092
195	23.08.2022 12:00:00	103,62311
196	23.08.2022 13:00:00	100,556543
197	23.08.2022 14:00:00	95,143454
198	23.08.2022 15:00:00	80,875437
199	23.08.2022 16:00:00	51,966197
200	23.08.2022 17:00:00	64,302202
201	23.08.2022 18:00:00	81,725328
202	23.08.2022 19:00:00	81,120942
203	23.08.2022 20:00:00	86,347075
204	23.08.2022 21:00:00	101,111402
205	23.08.2022 22:00:00	37,674448
206	23.08.2022 23:00:00	60,482083
207	24.08.2022 00:00:00	14,187055
208	24.08.2022 01:00:00	4,853995
209	24.08.2022 02:00:00	4,232941
210	24.08.2022 03:00:00	26,331426
211	24.08.2022 04:00:00	7,350447
212	24.08.2022 05:00:00	6,423046
213	24.08.2022 06:00:00	30,24949
214	24.08.2022 07:00:00	38,953843
215	24.08.2022 08:00:00	69,756963
216	24.08.2022 09:00:00	52,963151
217	24.08.2022 10:00:00	47,176181
218	24.08.2022 11:00:00	37,987816
219	24.08.2022 12:00:00	40,992646
220	24.08.2022 13:00:00	61,438375
221	24.08.2022 14:00:00	103,514818
222	24.08.2022 15:00:00	105,232746
223	24.08.2022 16:00:00	105,975496
224	24.08.2022 17:00:00	99,194414
225	24.08.2022 18:00:00	50,578612
226	24.08.2022 19:00:00	25,67177
227	24.08.2022 20:00:00	2,335571
228	24.08.2022 21:00:00	1,205884
229	24.08.2022 22:00:00	0,282175
230	24.08.2022 23:00:00	-0,245718
231	25.08.2022 00:00:00	2,625296
232	25.08.2022 01:00:00	4,661777
233	25.08.2022 02:00:00	15,118016
234	25.08.2022 03:00:00	50,730438
235	25.08.2022 04:00:00	55,706014
236	25.08.2022 05:00:00	76,857663
237	25.08.2022 06:00:00	67,125445
238	25.08.2022 07:00:00	7,29243
239	25.08.2022 08:00:00	3,764336
240	25.08.2022 09:00:00	0,37444
241	25.08.2022 10:00:00	-0,045358
242	25.08.2022 11:00:00	-0,005729
243	25.08.2022 12:00:00	-0,003207
244	25.08.2022 15:00:00	-0,069605
245	25.08.2022 16:00:00	-0,358453
246	25.08.2022 17:00:00	2,159284
247	25.08.2022 18:00:00	0,071741
248	25.08.2022 19:00:00	2,217078
249	25.08.2022 20:00:00	-1,219232
250	25.08.2022 21:00:00	26,752136
251	25.08.2022 22:00:00	67,42467
252	25.08.2022 23:00:00	101,836182
253	26.08.2022 00:00:00	93,989124
254	26.08.2022 01:00:00	82,324552
255	26.08.2022 02:00:00	71,973235
256	26.08.2022 03:00:00	92,864433
257	26.08.2022 04:00:00	74,675517
258	26.08.2022 05:00:00	67,956259
259	26.08.2022 06:00:00	29,286168
260	26.08.2022 07:00:00	6,267892
261	26.08.2022 08:00:00	4,996166
262	26.08.2022 09:00:00	3,109866
263	26.08.2022 10:00:00	4,962772
264	26.08.2022 11:00:00	5,78162
265	26.08.2022 12:00:00	4,334561
266	26.08.2022 13:00:00	3,361977
267	26.08.2022 14:00:00	0,959341
268	26.08.2022 15:00:00	0,015995
269	26.08.2022 16:00:00	-0,033799
270	26.08.2022 17:00:00	-0,031548
271	26.08.2022 18:00:00	-0,057527
272	26.08.2022 19:00:00	-0,006611
273	26.08.2022 20:00:00	0,108337
274	26.08.2022 21:00:00	-0,296625
275	26.08.2022 22:00:00	-0,143168
276	26.08.2022 23:00:00	0,073792
277	27.08.2022 00:00:00	0,525463
278	27.08.2022 01:00:00	1,043107
279	27.08.2022 02:00:00	3,414355
280	27.08.2022 03:00:00	10,601243
281	27.08.2022 04:00:00	6,033565
