	Vector time	gfs.168.112.total_boundary_cloud.comb
138	03.09.2022 01:00:00	99,863784
139	03.09.2022 02:00:00	97,868275
140	03.09.2022 03:00:00	100,04141
141	03.09.2022 04:00:00	100,985896
142	03.09.2022 05:00:00	100,472085
143	03.09.2022 06:00:00	100,404025
144	03.09.2022 07:00:00	99,989406
145	03.09.2022 08:00:00	99,999291
146	03.09.2022 09:00:00	78,777016
147	03.09.2022 10:00:00	97,053382
148	03.09.2022 11:00:00	85,429958
149	03.09.2022 12:00:00	90,883336
150	03.09.2022 13:00:00	87,444557
151	03.09.2022 14:00:00	97,989169
152	03.09.2022 15:00:00	100,931401
153	03.09.2022 16:00:00	99,994002
154	03.09.2022 17:00:00	100,724334
155	03.09.2022 18:00:00	101,806635
156	03.09.2022 19:00:00	101,866575
157	03.09.2022 20:00:00	103,426725
158	03.09.2022 21:00:00	103,745777
159	03.09.2022 22:00:00	77,501187
160	03.09.2022 23:00:00	56,986711
161	04.09.2022 00:00:00	56,192307
162	04.09.2022 01:00:00	50,727488
163	04.09.2022 02:00:00	36,758459
164	04.09.2022 03:00:00	85,112578
165	04.09.2022 04:00:00	95,076131
166	04.09.2022 05:00:00	86,526949
167	04.09.2022 06:00:00	77,182697
168	04.09.2022 07:00:00	72,305927
169	04.09.2022 08:00:00	70,519436
170	04.09.2022 09:00:00	59,331065
171	04.09.2022 10:00:00	33,868452
172	04.09.2022 11:00:00	31,922708
173	04.09.2022 12:00:00	20,317673
174	04.09.2022 13:00:00	21,375308
175	04.09.2022 14:00:00	18,44038
176	04.09.2022 15:00:00	4,571026
177	04.09.2022 16:00:00	-0,159102
178	04.09.2022 17:00:00	-0,204978
179	04.09.2022 18:00:00	-0,395895
180	04.09.2022 19:00:00	-0,030854
181	04.09.2022 20:00:00	-0,029517
182	04.09.2022 21:00:00	-0,000297
183	04.09.2022 22:00:00	0,000468
184	04.09.2022 23:00:00	0
185	05.09.2022 04:00:00	-0,00129
186	05.09.2022 05:00:00	-0,043403
187	05.09.2022 06:00:00	-0,096161
188	05.09.2022 07:00:00	-0,042034
189	05.09.2022 08:00:00	-0,053073
190	05.09.2022 09:00:00	-0,00146
191	05.09.2022 10:00:00	0,000521
192	05.09.2022 11:00:00	-0,000058
193	05.09.2022 12:00:00	0,001411
194	05.09.2022 13:00:00	-0,000336
195	05.09.2022 14:00:00	-0,000423
196	05.09.2022 15:00:00	0
197	07.09.2022 09:00:00	-0,000488
198	07.09.2022 11:00:00	0,000795
199	07.09.2022 12:00:00	0
200	07.09.2022 15:00:00	-0,029289
201	07.09.2022 16:00:00	0
202	07.09.2022 18:00:00	0,001194
203	07.09.2022 19:00:00	0,00094
204	07.09.2022 20:00:00	-0,002006
205	07.09.2022 21:00:00	0
206	08.09.2022 05:00:00	-0,037735
207	08.09.2022 06:00:00	3,094212
208	08.09.2022 07:00:00	1,313777
209	08.09.2022 08:00:00	-0,046692
210	08.09.2022 09:00:00	0
211	08.09.2022 17:00:00	-0,005839
212	08.09.2022 18:00:00	-0,000655
213	08.09.2022 19:00:00	0
214	08.09.2022 20:00:00	0,001085
215	08.09.2022 21:00:00	0
216	09.09.2022 03:00:00	-0,041644
217	09.09.2022 04:00:00	2,971181
218	09.09.2022 05:00:00	12,419775
219	09.09.2022 06:00:00	22,692911
220	09.09.2022 07:00:00	11,673226
221	09.09.2022 08:00:00	3,475205
222	09.09.2022 09:00:00	9,50212
223	09.09.2022 10:00:00	10,818393
224	09.09.2022 11:00:00	16,437029
225	09.09.2022 12:00:00	22,907599
226	09.09.2022 13:00:00	40,622709
227	09.09.2022 14:00:00	41,000919
228	09.09.2022 15:00:00	55,444707
229	09.09.2022 16:00:00	44,384334
230	09.09.2022 17:00:00	54,99254
231	09.09.2022 18:00:00	37,816071
232	09.09.2022 19:00:00	34,35275
233	09.09.2022 20:00:00	38,259846
234	09.09.2022 21:00:00	23,478776
235	09.09.2022 22:00:00	24,199371
236	09.09.2022 23:00:00	30,347762
237	10.09.2022 00:00:00	48,528225
238	10.09.2022 01:00:00	76,882839
239	10.09.2022 02:00:00	105,003866
240	10.09.2022 03:00:00	69,989094
241	10.09.2022 04:00:00	71,396149
242	10.09.2022 05:00:00	83,618718
243	10.09.2022 06:00:00	89,871837
244	10.09.2022 07:00:00	88,433472
245	10.09.2022 08:00:00	100,321412
246	10.09.2022 09:00:00	99,349168
247	10.09.2022 10:00:00	100,050656
248	10.09.2022 11:00:00	98,809056
249	10.09.2022 12:00:00	94,71215
250	10.09.2022 13:00:00	81,933645
251	10.09.2022 14:00:00	45,404842
252	10.09.2022 15:00:00	17,897631
253	10.09.2022 16:00:00	69,909233
254	10.09.2022 17:00:00	4,269627
255	10.09.2022 18:00:00	-1,548968
256	10.09.2022 19:00:00	0,296483
257	10.09.2022 20:00:00	57,858215
258	10.09.2022 21:00:00	44,906166
259	10.09.2022 22:00:00	13,566305
260	10.09.2022 23:00:00	-7,080669
261	11.09.2022 00:00:00	-3,496709
262	11.09.2022 01:00:00	-0,601302
263	11.09.2022 02:00:00	-0,092916
264	11.09.2022 03:00:00	-6,108116
265	11.09.2022 04:00:00	-0,24302
266	11.09.2022 05:00:00	-0,006823
267	11.09.2022 06:00:00	-0,003461
268	11.09.2022 07:00:00	0,003718
269	11.09.2022 08:00:00	-0,009013
270	11.09.2022 09:00:00	-0,020492
271	11.09.2022 10:00:00	-0,001721
272	11.09.2022 11:00:00	-1,864391
273	11.09.2022 12:00:00	0,011688
274	11.09.2022 13:00:00	-0,011153
275	11.09.2022 14:00:00	0,002342
276	11.09.2022 15:00:00	0,002795
277	11.09.2022 16:00:00	0,929129
278	11.09.2022 17:00:00	3,877557
279	11.09.2022 18:00:00	3,317092
280	11.09.2022 19:00:00	-0,052758
281	11.09.2022 20:00:00	-0,74363
282	11.09.2022 21:00:00	30,681375
283	11.09.2022 22:00:00	68,942969
284	11.09.2022 23:00:00	45,747491
285	12.09.2022 00:00:00	74,478509
286	12.09.2022 01:00:00	87,529876
287	12.09.2022 02:00:00	46,307596
288	12.09.2022 03:00:00	8,446218
289	12.09.2022 04:00:00	6,207351
290	12.09.2022 05:00:00	6,731718
291	12.09.2022 06:00:00	4,160894
292	12.09.2022 07:00:00	23,851835
293	12.09.2022 08:00:00	54,504906
294	12.09.2022 09:00:00	69,574394
295	12.09.2022 10:00:00	73,971653
296	12.09.2022 11:00:00	67,223492
297	12.09.2022 12:00:00	67,375912
298	12.09.2022 13:00:00	86,332872
299	12.09.2022 14:00:00	92,629563
300	12.09.2022 15:00:00	95,370891
301	12.09.2022 16:00:00	71,767555
302	12.09.2022 17:00:00	81,533364
303	12.09.2022 18:00:00	47,665945
304	12.09.2022 19:00:00	55,343843
305	12.09.2022 20:00:00	40,301717
306	12.09.2022 21:00:00	46,965943
307	12.09.2022 22:00:00	45,176421
308	12.09.2022 23:00:00	44,510624
309	13.09.2022 00:00:00	89,306195
310	13.09.2022 01:00:00	97,520586
311	13.09.2022 02:00:00	100,294226
312	13.09.2022 03:00:00	100,803015
313	13.09.2022 04:00:00	99,471573
314	13.09.2022 05:00:00	101,158272
315	13.09.2022 06:00:00	98,428925
316	13.09.2022 07:00:00	96,815448
317	13.09.2022 08:00:00	76,417451
318	13.09.2022 09:00:00	70,061931
319	13.09.2022 10:00:00	74,720968
320	13.09.2022 11:00:00	75,483833
321	13.09.2022 12:00:00	65,903453
322	13.09.2022 13:00:00	64,953504
323	13.09.2022 14:00:00	49,076222
324	13.09.2022 15:00:00	3,944261
325	13.09.2022 16:00:00	-0,021217
326	13.09.2022 17:00:00	0,03059
327	13.09.2022 18:00:00	0,00623
