	Vector time	gfs.168.109.total_middle_cloud.comb
139	23.08.2022 07:00:00	88,998296
140	23.08.2022 08:00:00	47,298486
141	23.08.2022 09:00:00	32,57301
142	23.08.2022 10:00:00	5,769078
143	23.08.2022 11:00:00	8,454442
144	23.08.2022 12:00:00	22,099608
145	23.08.2022 13:00:00	12,763546
146	23.08.2022 14:00:00	10,725275
147	23.08.2022 15:00:00	10,181211
148	23.08.2022 16:00:00	7,473654
149	23.08.2022 17:00:00	10,448645
150	23.08.2022 18:00:00	14,156681
151	23.08.2022 19:00:00	27,589405
152	23.08.2022 20:00:00	9,277272
153	23.08.2022 21:00:00	12,555452
154	23.08.2022 22:00:00	6,739323
155	23.08.2022 23:00:00	5,281289
156	24.08.2022 00:00:00	5,056416
157	24.08.2022 01:00:00	5,402629
158	24.08.2022 02:00:00	7,724043
159	24.08.2022 03:00:00	0
160	24.08.2022 06:00:00	0,765908
161	24.08.2022 07:00:00	34,87075
162	24.08.2022 08:00:00	51,025875
163	24.08.2022 09:00:00	30,582591
164	24.08.2022 10:00:00	26,433104
165	24.08.2022 11:00:00	14,383121
166	24.08.2022 12:00:00	8,963924
167	24.08.2022 13:00:00	18,279157
168	24.08.2022 14:00:00	24,298949
169	24.08.2022 15:00:00	58,900832
170	24.08.2022 16:00:00	49,384441
171	24.08.2022 17:00:00	22,169554
172	24.08.2022 18:00:00	5,36526
173	24.08.2022 19:00:00	1,158351
174	24.08.2022 20:00:00	0,526525
175	24.08.2022 21:00:00	0,024191
176	24.08.2022 22:00:00	0,074624
177	24.08.2022 23:00:00	-0,003868
178	25.08.2022 00:00:00	-0,001712
179	25.08.2022 01:00:00	0,294169
180	25.08.2022 02:00:00	1,556995
181	25.08.2022 03:00:00	50,730438
182	25.08.2022 04:00:00	55,706014
183	25.08.2022 05:00:00	76,863756
184	25.08.2022 06:00:00	67,138184
185	25.08.2022 07:00:00	7,32198
186	25.08.2022 08:00:00	3,764336
187	25.08.2022 09:00:00	0,37444
188	25.08.2022 10:00:00	-0,045358
189	25.08.2022 11:00:00	0
190	25.08.2022 21:00:00	-0,073305
191	25.08.2022 22:00:00	-1,029698
192	25.08.2022 23:00:00	5,915844
