	Vector time	gfs.168.114.total_precipitation.comb
139	29.08.2022 21:00:00	0
140	29.08.2022 22:00:00	0,088526
141	29.08.2022 23:00:00	0,185403
142	30.08.2022 00:00:00	0,090559
143	30.08.2022 01:00:00	0,141804
144	30.08.2022 02:00:00	0,101495
145	30.08.2022 03:00:00	0
146	30.08.2022 19:00:00	0,000986
147	30.08.2022 20:00:00	0
148	02.09.2022 15:00:00	0,014982
149	02.09.2022 16:00:00	0,043605
150	02.09.2022 17:00:00	-0,115464
151	02.09.2022 18:00:00	0,480324
152	02.09.2022 19:00:00	1,20574
153	02.09.2022 20:00:00	1,177763
154	02.09.2022 21:00:00	0,07724
155	02.09.2022 22:00:00	0,41954
156	02.09.2022 23:00:00	1,361548
157	03.09.2022 00:00:00	3,407336
158	03.09.2022 01:00:00	3,829164
159	03.09.2022 02:00:00	2,92229
160	03.09.2022 03:00:00	0,346341
161	03.09.2022 04:00:00	0,986912
162	03.09.2022 05:00:00	2,452272
163	03.09.2022 06:00:00	5,939743
164	03.09.2022 07:00:00	8,994469
165	03.09.2022 08:00:00	6,700978
166	03.09.2022 09:00:00	0,158492
167	03.09.2022 10:00:00	0,208027
168	03.09.2022 11:00:00	0,169249
169	03.09.2022 12:00:00	0,700346
170	03.09.2022 13:00:00	2,32792
171	03.09.2022 14:00:00	2,978383
172	03.09.2022 15:00:00	0,504575
173	03.09.2022 16:00:00	1,398032
174	03.09.2022 17:00:00	1,349411
175	03.09.2022 18:00:00	1,098652
176	03.09.2022 19:00:00	1,072503
177	03.09.2022 20:00:00	1,078574
178	03.09.2022 21:00:00	0
179	04.09.2022 05:00:00	0,115349
180	04.09.2022 06:00:00	0,124292
181	04.09.2022 07:00:00	0,058139
182	04.09.2022 08:00:00	0,062705
183	04.09.2022 09:00:00	0
184	04.09.2022 11:00:00	-0,000864
185	04.09.2022 12:00:00	-0,000186
186	04.09.2022 13:00:00	-0,000194
187	04.09.2022 14:00:00	-0,000183
188	04.09.2022 15:00:00	0
189	05.09.2022 13:00:00	0,000034
190	05.09.2022 15:00:00	0
191	07.09.2022 18:00:00	-0,001094
192	07.09.2022 19:00:00	-0,000254
193	07.09.2022 21:00:00	0
194	08.09.2022 03:00:00	0,075587
195	08.09.2022 04:00:00	0,347601
196	08.09.2022 05:00:00	1,341257
197	08.09.2022 06:00:00	1,337816
198	08.09.2022 07:00:00	1,539125
199	08.09.2022 08:00:00	1,653658
200	08.09.2022 09:00:00	0
201	08.09.2022 10:00:00	-0,000293
202	08.09.2022 11:00:00	-0,001201
203	08.09.2022 12:00:00	-0,003044
204	08.09.2022 13:00:00	-0,004364
205	08.09.2022 14:00:00	-0,002128
206	08.09.2022 15:00:00	-0,000478
207	08.09.2022 16:00:00	-0,002617
208	08.09.2022 17:00:00	-0,007749
209	08.09.2022 18:00:00	0,059123
210	08.09.2022 19:00:00	0,008556
211	08.09.2022 20:00:00	-0,008439
212	08.09.2022 21:00:00	0
213	09.09.2022 03:00:00	0,302206
214	09.09.2022 04:00:00	1,214522
215	09.09.2022 05:00:00	4,89924
216	09.09.2022 06:00:00	4,144879
