	Vector time	gfs.168.111.total_convective_cloud.comb
140	29.08.2022 20:00:00	6,852006
141	29.08.2022 21:00:00	-0,378217
142	29.08.2022 22:00:00	11,564606
143	29.08.2022 23:00:00	4,534428
144	30.08.2022 00:00:00	0
145	31.08.2022 09:00:00	-0,000523
146	31.08.2022 10:00:00	-0,016596
147	31.08.2022 11:00:00	-0,045541
148	31.08.2022 12:00:00	0,010017
149	31.08.2022 13:00:00	0
150	31.08.2022 15:00:00	-0,020667
151	31.08.2022 16:00:00	-0,007739
152	31.08.2022 17:00:00	0
153	02.09.2022 15:00:00	-0,007154
154	02.09.2022 16:00:00	-0,023524
155	02.09.2022 17:00:00	0,899634
156	02.09.2022 18:00:00	2,346465
157	02.09.2022 19:00:00	0,558082
158	02.09.2022 20:00:00	-0,101818
159	02.09.2022 21:00:00	-0,052845
160	02.09.2022 22:00:00	-0,09844
161	02.09.2022 23:00:00	0,004912
162	03.09.2022 00:00:00	3,579457
163	03.09.2022 01:00:00	5,583667
164	03.09.2022 02:00:00	11,203964
165	03.09.2022 03:00:00	16,284714
166	03.09.2022 04:00:00	29,616664
167	03.09.2022 05:00:00	31,306439
168	03.09.2022 06:00:00	28,930245
169	03.09.2022 07:00:00	29,515054
170	03.09.2022 08:00:00	18,58699
171	03.09.2022 09:00:00	1,821079
172	03.09.2022 10:00:00	-0,489174
173	03.09.2022 11:00:00	1,12335
174	03.09.2022 12:00:00	7,329093
175	03.09.2022 13:00:00	10,750893
176	03.09.2022 14:00:00	22,993218
177	03.09.2022 15:00:00	23,906277
178	03.09.2022 16:00:00	21,008664
179	03.09.2022 17:00:00	14,601768
180	03.09.2022 18:00:00	7,424996
181	03.09.2022 19:00:00	2,38572
182	03.09.2022 20:00:00	0,477489
183	03.09.2022 21:00:00	0,291785
184	03.09.2022 22:00:00	-0,000098
185	03.09.2022 23:00:00	0
186	04.09.2022 08:00:00	-0,013776
187	04.09.2022 09:00:00	-0,041766
188	04.09.2022 10:00:00	-0,035768
189	04.09.2022 11:00:00	0,017148
190	04.09.2022 12:00:00	-0,033797
191	04.09.2022 13:00:00	-0,01893
192	04.09.2022 14:00:00	-0,006435
193	04.09.2022 15:00:00	-0,002195
194	04.09.2022 16:00:00	0
195	05.09.2022 09:00:00	-0,000634
196	05.09.2022 10:00:00	-0,002179
197	05.09.2022 11:00:00	-0,001054
198	05.09.2022 12:00:00	-0,011636
199	05.09.2022 13:00:00	-0,007695
200	05.09.2022 14:00:00	0
201	07.09.2022 11:00:00	-0,000634
202	07.09.2022 12:00:00	-0,025073
203	07.09.2022 13:00:00	-0,001128
204	07.09.2022 14:00:00	-0,000883
205	07.09.2022 15:00:00	0
206	07.09.2022 17:00:00	-0,006426
207	07.09.2022 18:00:00	-0,118977
208	07.09.2022 19:00:00	-0,025915
209	07.09.2022 20:00:00	0
210	08.09.2022 03:00:00	16,338227
211	08.09.2022 04:00:00	40,989248
212	08.09.2022 05:00:00	49,992765
213	08.09.2022 06:00:00	29,812035
214	08.09.2022 07:00:00	26,941746
215	08.09.2022 08:00:00	36,284981
216	08.09.2022 09:00:00	-0,265246
217	08.09.2022 10:00:00	-0,01103
218	08.09.2022 11:00:00	-0,048774
219	08.09.2022 12:00:00	-0,073498
220	08.09.2022 13:00:00	-0,233225
221	08.09.2022 14:00:00	-0,254614
222	08.09.2022 15:00:00	-0,276169
223	08.09.2022 16:00:00	-0,299287
224	08.09.2022 17:00:00	-0,765416
225	08.09.2022 18:00:00	-1,458622
226	08.09.2022 19:00:00	-0,224833
227	08.09.2022 20:00:00	0
